entity_id;entity_name;sector;country;value
0GLJYQ-E;DAYOU PLUS Co Ltd;Automotive;South Korea;234
05JD0V-E;DAEWON KANG UP Co Ltd;Automotive;South Korea;3141
0B343K-E;North Industries Group Red Arrow Co Ltd Class A;Automotive;China;1332
05WRWJ-E;Wanxiang Qianchao Co Ltd Class A;Automotive;China;12432
05X5PB-E;Xiangyang Automobile Bearing Co Ltd Class A;Automotive;China;123
0H9TNY-E;Berry Genomics Co Ltd Class A;Automotive;China;222
062SZG-E;Sichuan Haowu Electromechanical Co Ltd Class A;Automotive;China;
062LRM-E;Steyr Motors Co Ltd Class A;Automotive;China;
0BBM6N-E;Hubei Energy Group Co Ltd Class A;Automotive;China;
05X5PY-E;Zotye Automobile Co Ltd Class A;Automotive;China;
06JDK7-E;KBI DONGKOOK IND CO LTD;Automotive;South Korea;
062LFZ-E;Chongqing Zongshen Power Machinery Co Ltd Class A;Automotive;China;
0662DZ-E;Ningbo Huaxiang Electronic Co Ltd Class A;Automotive;China;
06V3FJ-E;Zhejiang Wanfeng Auto Wheel Co Ltd Class A;Automotive;China;
06V3HK-E;Zhejiang Yinlun Machinery Co Ltd Class A;Automotive;China;
06W60R-E;Ningbo Donly Co Ltd Class A;Automotive;China;
0731VT-E;Shenzhen Terca Technology Co Ltd Class A;Automotive;China;
07BTVX-E;Yunnan Xiyi Industry Co Ltd Class A;Automotive;China;
09JB8X-E;Xingmin Intelligent Transportation Systems (Group) Co Ltd Class A;Automotive;China;
09L0Z0-E;Shandong Longji Machinery Co Ltd Class A;Automotive;China;
09SMB7-E;Zhejiang Wanliyang Co Ltd Class A;Automotive;China;
09VP1Y-E;ZYNP Corporation Class A;Automotive;China;
09ZXYM-E;Zhejiang Shuanghuan Driveline Co Ltd Class A;Automotive;China;
0B3YJ0-E;Zhejiang Jingu Co Ltd Class A;Automotive;China;
08MTQD-E;Tianjin Motor Dies Co Ltd Class A;Automotive;China;
08K8NT-E;Kuangda Technology Group Co Ltd Class A;Automotive;China;
0BBQW9-E;Feilong Auto Components Co Ltd Class A;Automotive;China;
